name,downloads
nldates-obsidian,121677
hotkeysplus-obsidian,48970
obsidian-git,173499
url-into-selection,87713
sliding-panes-obsidian,233763
cm-show-whitespace-obsidian,7625
table-editor-obsidian,387296
leader-hotkeys-obsidian,2842
slated-obsidian,13394
recent-files-obsidian,72801
ledger-obsidian,3461
note-refactor-obsidian,80749
calendar,341794
mrj-text-expand,14130
mrj-jump-to-link,8410
obsidian-reading-time,21325
todoist-sync-plugin,21975
obsidian-vimrc-support,23049
shortcuts-extender,7900
mrj-crosslink-between-notes,4431
darlal-switcher-plus,39387
obsidian-day-planner,117399
cm-editor-syntax-highlight-obsidian,114013
review-obsidian,30650
obsidian-hider,48297
obsidian-minimal-settings,166582
obsidian-system-dark-mode,10349
obsidian-discordrpc,4710
templater-obsidian,247491
convert-url-to-iframe,26702
code-block-copy,76292
searchpp,1939
better-word-count,84400
workbench-obsidian,14282
obsidian-latex-environments,9485
obsidian-rtl,5496
markdown-prettifier,45934
css-snippets,3697
obsidian-link-indexer,2707
macOS-keyboard-nav-obsidian,2594
extract-highlights-plugin,9679
find-unlinked-files,56970
wikilinks-to-mdlinks-obsidian,6125
smart-random-note,12747
cycle-through-panes,31737
music-code-blocks,3621
cm-typewriter-scroll-obsidian,23191
obsidian-youglish-plugin,2021
obsidian-dangling-links,5564
dangerzone-writing-plugin,2615
maximise-active-pane-obsidian,8183
obsidian-juliandate,577
obsidian-emoji-toolbar,82402
obsidian-fullscreen-plugin,16812
footlinks,5646
obsidian-mind-map,163104
flashcards-obsidian,16800
completed-area,2236
obsidian-citation-plugin,63608
obsidian-to-anki-plugin,26269
obsidian-rollover-daily-todos,25771
obsidian-reveal-active-file,6757
obsidian-export-to-tex,2572
obsidian-latex,7731
obsidian-apple-reminders-plugin,1590
obsidian-contextual-typography,20938
neo4j-graph-view,3165
snippets,1510
obsidian-temple,1069
obsidian-relative-line-numbers,5532
obsidian-charts,49173
discordian-plugin,5058
obsidian-autocomplete-plugin,14816
completed-task-display,2710
