version,os,downloads,type,created_at
0.12.05,linux,1295,tar.gz,1623087541.0
0.12.05,windows,24583,exe,1623087541.0
0.12.05,linux,2541,amd64.snap,1623087541.0
0.12.04,mac,10801,universal.dmg,1621955286.0
0.12.04,linux,5792,AppImage,1621955286.0
0.12.04,linux,1237,tar.gz,1621955286.0
0.12.04,windows,18678,exe,1621955286.0
0.12.04,linux,1834,amd64.snap,1621955286.0
0.12.03,mac,25864,universal.dmg,1620671263.0
0.12.03,linux,11828,AppImage,1620671263.0
0.12.03,linux,3037,tar.gz,1620671263.0
0.12.03,windows,39948,exe,1620671263.0
0.12.03,linux,3991,amd64.snap,1620671263.0
0.11.13,mac,28977,universal.dmg,1617548200.0
0.11.13,linux,13483,AppImage,1617548200.0
0.11.13,linux,1499,tar.gz,1617548200.0
0.11.13,windows,43719,exe,1617548200.0
0.11.13,linux,5045,amd64.snap,1617548200.0
0.11.09,mac,9767,universal.dmg,1616317974.0
0.11.09,linux,5283,AppImage,1616317974.0
0.11.09,linux,895,tar.gz,1616317974.0
0.11.09,windows,14016,exe,1616317974.0
0.11.09,linux,1592,amd64.snap,1616317974.0
0.11.05,mac,14299,universal.dmg,1614725773.0
0.11.05,linux,6690,AppImage,1614725773.0
0.11.05,linux,161,tar.gz,1614725773.0
0.11.05,windows,24368,exe,1614725773.0
0.11.05,linux,2053,amd64.snap,1614725773.0
0.11.03,mac,8210,universal.dmg,1613853238.0
0.11.03,linux,3542,AppImage,1613853238.0
0.11.03,linux,46,tar.gz,1613853238.0
0.11.03,windows,12319,exe,1613853238.0
0.11.03,linux,1050,amd64.snap,1613853238.0
0.11.0,mac,13120,universal.dmg,1612904083.0
0.11.0,linux,5543,AppImage,1612904083.0
0.11.0,linux,79,tar.gz,1612904083.0
0.11.0,windows,19612,exe,1612904083.0
0.11.0,linux,1885,amd64.snap,1612904083.0
0.10.13,mac,6998,universal.dmg,1612572024.0
0.10.13,linux,3338,AppImage,1612572024.0
0.10.13,linux,28,tar.gz,1612572024.0
0.10.13,windows,9260,exe,1612572024.0
0.10.13,linux,1094,amd64.snap,1612572024.0
0.10.11,mac,9534,universal.dmg,1611849034.0
0.10.11,linux,4356,AppImage,1611849034.0
0.10.11,linux,29,tar.gz,1611849034.0
0.10.11,windows,12151,exe,1611849034.0
0.10.11,linux,1315,amd64.snap,1611849034.0
0.10.09,mac,2888,universal.dmg,1611080855.0
0.10.09,linux,1296,AppImage,1611080855.0
0.10.09,linux,14,tar.gz,1611080855.0
0.10.09,windows,4084,exe,1611080855.0
0.10.09,linux,317,amd64.snap,1611080855.0
0.10.08,linux,2102,AppImage,1610405705.0
0.10.08,mac,5598,dmg,1610405705.0
0.10.08,linux,14,tar.gz,1610405705.0
0.10.08,windows,6443,exe,1610405705.0
0.10.08,linux,552,amd64.snap,1610405705.0
0.10.07,mac,200,arm64.dmg,1610045847.0
0.10.07,linux,3187,AppImage,1610045847.0
0.10.07,mac,7644,dmg,1610045847.0
0.10.07,linux,25,tar.gz,1610045847.0
0.10.07,windows,10444,exe,1610045847.0
0.10.07,linux,874,amd64.snap,1610045847.0
0.10.06,mac,156,arm64.dmg,1609800080.0
0.10.06,linux,2428,AppImage,1609800080.0
0.10.06,mac,5926,dmg,1609800080.0
0.10.06,linux,12,tar.gz,1609800080.0
0.10.06,windows,7662,exe,1609800080.0
0.10.06,linux,656,amd64.snap,1609800080.0
0.10.01,mac,298,arm64.dmg,1608150092.0
0.10.01,linux,3778,AppImage,1608150092.0
0.10.01,mac,9874,dmg,1608150092.0
0.10.01,linux,25,tar.gz,1608150092.0
0.10.01,windows,12397,exe,1608150092.0
0.10.01,linux,1246,amd64.snap,1608150092.0
0.09.22,mac,135,arm64.dmg,1607426181.0
0.09.22,linux,2157,AppImage,1607426181.0
0.09.22,mac,5165,dmg,1607426181.0
0.09.22,linux,17,tar.gz,1607426181.0
0.09.22,windows,6893,exe,1607426181.0
0.09.22,linux,508,amd64.snap,1607426181.0
0.09.20,mac,152,arm64.dmg,1606948147.0
0.09.20,linux,1933,AppImage,1606948147.0
0.09.20,mac,4742,dmg,1606948147.0
0.09.20,linux,25,tar.gz,1606948147.0
0.09.20,windows,5902,exe,1606948147.0
0.09.20,linux,12987,amd64.deb,1606948147.0
0.09.20,linux,526,amd64.snap,1606948147.0
0.09.17,linux,1896,arm64.AppImage,1605945301.0
0.09.17,mac,206,arm64.dmg,1605945301.0
0.09.17,linux,1731,arm64.tar.gz,1605945301.0
0.09.17,linux,4149,AppImage,1605945301.0
0.09.17,mac,9095,dmg,1605945301.0
0.09.17,linux,46,tar.gz,1605945301.0
0.09.17,windows,3118,32.exe,1605945301.0
0.09.17,windows,1915,arm64.exe,1605945301.0
0.09.17,windows,13559,exe,1605945301.0
0.09.17,linux,1221,amd64.snap,1605945301.0
0.09.15,linux,2110,AppImage,1605658724.0
0.09.15,mac,5636,dmg,1605658724.0
