name,downloads
nldates-obsidian,92073
hotkeysplus-obsidian,39875
obsidian-git,112742
url-into-selection,66625
sliding-panes-obsidian,149011
cm-show-whitespace-obsidian,6627
table-editor-obsidian,272530
leader-hotkeys-obsidian,2009
slated-obsidian,12456
recent-files-obsidian,41038
ledger-obsidian,2394
note-refactor-obsidian,62901
calendar,233940
mrj-text-expand,10010
mrj-jump-to-link,5488
obsidian-reading-time,17300
todoist-sync-plugin,16442
obsidian-vimrc-support,14903
shortcuts-extender,5753
mrj-crosslink-between-notes,3948
darlal-switcher-plus,18345
obsidian-day-planner,85227
cm-editor-syntax-highlight-obsidian,79359
review-obsidian,26183
obsidian-hider,35124
obsidian-minimal-settings,91003
obsidian-system-dark-mode,8828
obsidian-discordrpc,3575
templater-obsidian,169715
convert-url-to-iframe,17698
code-block-copy,45803
searchpp,1701
better-word-count,63515
workbench-obsidian,12389
obsidian-latex-environments,7683
obsidian-rtl,3840
markdown-prettifier,39046
css-snippets,2840
obsidian-link-indexer,2520
macOS-keyboard-nav-obsidian,2330
extract-highlights-plugin,8480
find-unlinked-files,35717
wikilinks-to-mdlinks-obsidian,4814
smart-random-note,10119
cycle-through-panes,23930
music-code-blocks,2423
cm-typewriter-scroll-obsidian,16713
obsidian-youglish-plugin,1360
obsidian-dangling-links,4689
dangerzone-writing-plugin,2220
maximise-active-pane-obsidian,6821
obsidian-juliandate,511
obsidian-emoji-toolbar,60417
obsidian-fullscreen-plugin,13409
footlinks,5081
obsidian-mind-map,113382
flashcards-obsidian,12734
completed-area,1922
obsidian-citation-plugin,45515
obsidian-to-anki-plugin,20065
obsidian-rollover-daily-todos,20852
obsidian-reveal-active-file,4980
obsidian-export-to-tex,1784
obsidian-latex,5728
obsidian-apple-reminders-plugin,1186
obsidian-contextual-typography,11528
neo4j-graph-view,2745
snippets,1287
obsidian-temple,917
obsidian-relative-line-numbers,3930
obsidian-charts,32982
discordian-plugin,4147
obsidian-autocomplete-plugin,11888
completed-task-display,2090
obsidian-extract-pdf-highlights,26410
youhavebeenstaring-plugin,796
obsidian-metatemplates,1497
obsidian-query2table,833
obsidian-imgur-plugin,5644
obsidian-checklist-plugin,74344
obsidian-text-expander,3829
search-on-internet,9369
obsidian-file-path-to-uri,4604
page-heading-from-links,1606
obsidian-icons-plugin,23966
folder-note-plugin,24135
vantage-obsidian,10710
obsidian-sort-and-permute-lines,9094
obsidian-min3ditorhotkeys-plugin,407
obsidian-jsonifier,553
things-logbook,1825
obsidian-shortcuts-for-starred-files,1403
obsidian-filename-heading-sync,12458
obsidian-orthography,2751
obsidian-query-language,3930
obsidian-markdown-formatting-assistant-plugin,15160
obsidian-journey-plugin,8447
tag-wrangler,70577
better-pdf-plugin,13325
dataview,191709
periodic-notes,51519
obsidian-show-file-path,9822
obsidian-paper-cut,500
obsidian-comments,4372
ini-obsidian,261
various-complements,12774
obsidian-timelines,14980
txt-as-md-obsidian,3484
note-folder-autorename,4049
daily-activity,4093
obsidian-daily-stats,3386
open-note-to-window-title,4457
meld-encrypt,9294
obsidian-vault-statistics-plugin,6677
obsidian-plugin-todo,19437
obsidian-hotkeys-for-specific-files,1965
csv-obsidian,5331
obsidian-plugin-toc,15983
mochi-cards-exporter,586
obsidian-plugin-prettier,3230
obsidian-furigana,377
obsidian-vault-changelog,462
chesser-obsidian,1362
obsidian-activity-history,5275
obsidian-chessboard,542
obsidian-footnotes,12636
obsidian-gallery,7072
notetweet,1161
code-block-from-selection,2444
format-hotkeys-obsidian,1291
obsidian-leaflet-plugin,19240
remember-cursor-position,9359
pane-relief,15605
DEVONlink-obsidian,2673
hotkey-helper,13062
text-snippets-obsidian,5631
consistent-attachments-and-links,2700
obsidian-plantuml,12200
imdone-obsidian-plugin,553
obsidian-spotlight,564
unique-attachments,1849
obsidian-dice-roller,12151
obsidian-languagetool-plugin,23285
obsidian-commits,2695
obsidian-outliner,152731
extract-url,4874
find-and-replace-in-selection,3485
buttons,24239
obsidian-admonition,163446
obsidian-tracker,26815
obsidian-hotkeys-for-templates,7618
obsidian-style-settings,81617
obsidian-embedded-note-titles,10225
obsidian-advanced-uri,25423
obsidian-fountain,883
cm-chs-patch,5694
table-extended,10710
privacy-glasses,3019
obsidian-highlightpublicnotes-plugin,721
media-extended,20815
obsidian-regex-pipeline,1687
juggl,26561
obsidian-spaced-repetition,30285
obsidian-readwise,3420
obsidian-tabs,19406
obsidian-icon-swapper,1676
mdx-as-md-obsidian,360
obsidian-excalidraw-plugin,177115
obsidian-auto-link-title,12895
python-lab-plugin,1087
obsidian-kanban,203573
obsidian-incremental-writing,2994
obsidian-kindle-plugin,19271
obsidian-metatable,8105
oz-image-plugin,85061
obsidian-recall,1529
obsidian-tidy-footnotes,3253
beeminder-word-count-plugin,222
obsidian-indent-lines,3990
obsidian-qrcode-plugin,1210
obsidian-focus-mode,8743
obsidian-underline,3426
oz-clear-unused-images,8045
obsidian-markdown-furigana,1417
obsidian-2hop-links-plugin,1381
obsidian-image-auto-upload-plugin,6086
obsidian-org-mode,1903
obsidian-open-link-with,1343
obsidian-stopwatch-plugin,876
supercharged-links-obsidian,18218
obsidian-pangu,3331
obsidian-related-notes-finder,1598
koncham-workspace,536
obsidian-react-components,2410
obsidian-tasks-plugin,55560
readwise-mirror,1489
obsidian-auto-pair-chinese-symbol,2203
obsidian-pomodoro-plugin,2580
obsidian-5e-statblocks,8588
obsidian-zoom,23164
obsidian-collapse-all-plugin,13254
obsidian-chartsview-plugin,6655
obsidian-dictionary-plugin,43964
liquid-templates,545
better-fn,5541
obsidian-dropbox-backups,2117
metaedit,13339
obsidian-static-file-server,448
easy-typing-obsidian,6882
obsidian-sidebar-expand-on-hover,1707
zoottelkeeper-obsidian-plugin,7227
file-tree-alternative,38900
obsidian-electron-window-tweaker,2007
obsidian-smart-typography,11512
obsidian-grandfather,1213
obsidian-text-format,10500
adjacency-matrix-maker,824
taskbone-ocr-plugin,2844
obsidian-gist,1375
obsidian-argdown-plugin,1739
obsidian-csv-table,4423
obsidian-advanced-new-file,2357
file-explorer-note-count,8896
obsidian-title-index,959
quickadd,64738
obsidian-pluck,2401
obsidian-pandoc,28049
tq-obsidian,4317
obsidian-habit-tracker,2448
obsidian-amazingmarvin-plugin,443
obsidian-statusbar-pomo,7365
obsidian-kroki,914
obsidian-timeline,3626
obsidian-map-view,5537
copy-url-in-preview,1612
initiative-tracker,4845
obsidian-cursor-location-plugin,1363
obsidian-enhancing-mindmap,30700
breadcrumbs,31885
open-vscode,3346
obsidian-image-uploader,551
garble-text,740
obsidian-paste-to-current-indentation,1108
obsimian-exporter,104
obsidian-find-and-replace-in-selection,1117
obsidian-embedded-code-title,1899
homepage,13666
plugin-changelogs,2966
advanced-toolbar,12261
obsidian-random-todo,357
mx-bili-plugin,7265
cmenu-plugin,18876
obsidian-daf-yomi,477
markdown-attributes,1412
obsidian-wavedrom,178
phone-to-roam-to-obsidian,232
obsidian-budget-wysiwyg,4066
obsidian-pocket,4249
obsidian-wordnet-plugin,2981
multi-line-formatting,775
obsidian-apply-patterns,1324
longform,6248
readwise-official,21090
obsidian-activity-logger,455
customizable-sidebar,10365
obsidian-toggl-integration,5333
alx-folder-note,8238
macro-plugin,1089
obsidian-hide-sidebars-when-narrow,1170
obsidian-linter,10414
number-headings-obsidian,3471
obsidian-view-mode-by-frontmatter,2343
file-explorer-markdown-titles,942
obsidian-code-copy,979
theme-picker,3296
emoji-shortcodes,10537
obsidian-reminder-plugin,17111
obsidian-go-to-line,345
open-with,1409
editor-commands-remap,281
obsidian-command-alias-plugin,633
obsidian-rich-links,3189
ObsidianAnkiSync,1298
window-collapse,10
tag-page-preview,3562
obsidian-relative-find,417
obsidian-image-toolkit,15164
obsidian-shellcommands,3101
hover-external-link,859
obsidian-codemirror-options,17784
obsidian-code-block-enhancer,4363
obsidian-copy-block-link,6319
drawio-obsidian,8854
obsidian-vim-im-switch-plugin,464
luhman,1510
obsidian-daily-named-folder,460
obsidian-trello,1437
obsidian-annotator,31200
customjs,1593
random-structural-diary-plugin,656
obsidian-file-link,2215
quick-explorer,10772
obsidian-banners,19338
obsidian-jump-to-date-plugin,2669
obsidian-icon-folder,22234
ghost-fade-focus,1818
folder-note-core,5811
obsidian-jupyter,4380
obsidian-hackernews,619
obsidian-reset-font-size,546
obsidian-dynamic-toc,17819
podcast-note,1637
obsidian-stille,2930
block-reference-count,5393
obsidian-markmind,24693
obsidian-carry-forward,1646
obsidian-task-archiver,1738
obsidian-card-view-mode,3169
scales-chords,720
copy-note,347
customizable-menu,3920
workspaces-plus,4685
simple-embeds,8618
obsidian-read-it-later,4547
obsidian42-text-transporter,2755
marginnote-companion,2149
netwik,292
obsidian-prominent-starred-files,796
ozanshare-publish,459
obsidian-editor-shortcuts,2839
obsidian-task-collector,2390
metadata-extractor,2817
quick-latex,11824
obsidian-itinerary,1233
uri-commands,483
update-time-on-edit,2610
obsidian-nomnoml-diagram,1178
map-of-content,9950
obsidian-local-images,3930
obsidian-vocabulary-view,642
obsidian42-brat,11520
snippet-commands-obsidian,457
obsidian-javascript-init,332
key-promoter,3234
obsidian-livesync,6811
obsidian-plotly,812
obsidian-wikipedia,1725
obsidian-vale,1578
lumberjack-obsidian,1169
obsidian-link-converter,2117
mysnippets-plugin,2225
obsidian-hypothesis-plugin,3286
obsidian-another-quick-switcher,4306
link-headers-directly,1001
meld-calc,1844
tabout,1012
obsidian-pipe-tricks,277
fantasy-calendar,13115
obsidian-pikt,148
improved-vimcursor,369
quote-of-the-day,707
obsidian-audio-speed-plugin,338
obsidian-limelight,718
prompt,319
obsidian-link-archive,772
obsidian-chess,168
obsidian-html-tags-autocomplete,1044
advanced-cursors,2681
stenography-obsidian,253
obsidian-webhooks,771
obsidian-tweet-to-markdown,2244
obsidian-habitica-integration,707
obsidian-oura-plugin,145
obsidian-metacopy,388
obsidian-image-caption,3370
graph-analysis,13524
obsidian-custom-attachment-location,1721
cryptsidian,772
obsidian-crypto-lookup,185
copy-as-latex,956
obsidian-auto-split,1289
obsidian-word-sprint,887
copy-publish-url,457
card-board,3813
obsidian-bible-reference,1341
obsidian-sentence-navigator,311
language-translator,1276
customizable-page-header-buttons,5998
auto-class,515
obsidian-cloudinary-uploader,205
rss-reader,6028
mousewheel-image-zoom,2576
obsidian-flexible-pomo,1399
obsidian-lineup-builder,72
reveal-active-file-button,762
obsidian-structured-plugin,417
cooklang-obsidian,928
highlightr-plugin,11725
remotely-save,11638
obsidian-notes-from-template,1430
obsidian-overdue,321
obsidian-dialogue-plugin,1272
obsidian-title-serial-number-plugin,488
obsidian-theme-design-utilities,903
generic-initiative-tracker,341
obsidian-ankibridge,552
obsidian-tressel,184
image-window,1201
obsidian-tts,1244
link-favicon,4279
get-info-plugin,990
matter,2632
linked-data-helper,260
linked-data-vocabularies,458
obsidian-regex-replace,1966
obsidian-wordpress,740
obsidian-icon-shortcodes,4683
obsidian-tagfolder,4163
obsidian-advanced-slides,7757
obsidian-graphviz,595
vim-im-select,316
obsidian-emotion-picker,476
quoth,900
obsidian-metronome-plugin,276
obsidian-plaintext,325
obsidian-native-scrollbars,593
obsidian-wrap-with-shortcuts,302
obsidian-tomorrows-daily-note,637
obsidian-rant,385
obsidian-smarter-md-hotkeys,4233
obsidian-global-hotkeys,729
obsidian-timestamper,1444
obsidian-import-json,781
import-foundry,173
obsidian-attachment-name-formatting,595
obsidian-completr,2953
obsidian-binary-file-manager-plugin,274
obsidian-local-file-interface-plugin,390
obsidian-siteswap,69
obsidian-tweaks,572
obsidian-wordle,218
obsidian-memos,8221
para-shortcuts,317
13th-age-statblocks,89
obsidian-dynamic-highlights,1638
obsidian-koreader-plugin,272
obsidian-snippetor,1256
obsidian-sortable,4384
link-info-server,0
weather-fetcher,560
obsidian-lock-screen-plugin,423
pinboard-sync,96
obsidian-shortcut-launcher,1473
obsidian-file-info-plugin,1109
obsidian-topic-linking,1281
multi-column-markdown,1682
copy-as-html,1121
obsidian-frontmatter-tag-suggest,2900
simple-note-quiz,325
obsidian-local-rest-api,1148
obsidian-codeblock-labels,165
obsidian-better-command-palette,2444
obsidian-relativenumber,171
