name,downloads
obsidian-core-search-assistant-plugin,3586
obsidian-save-as-gist,181
obsidian-divide-and-conquer,450
obsidian-excel-to-markdown-table,4813
obsidian-power-search,656
tag-word-cloud,1176
persistent-graph,750
auto-note-mover,2098
insert-heading-link,187
settings-search,3437
obsidian-footnote-indicator,427
japanese-word-splitter,129
alx-folder-note-folderv,700
obsidian-chevereto-image-uploader,49
todoist-text,517
big-calendar,2958
sekund,677
obsidian-command-palette-minus-plugin,206
obsidian-remember-file-state,343
obsidian-things-link,323
markdown-shortcuts,255
digitalgarden,717
obsidian-living-graph,404
obsidian-hotkeys-chords,114
obsidian-key-sequence-shortcut,284
obsidian-full-calendar,4416
heatmap-calendar,1357
obsidian-daily-notes-opener,556
obsidian-advanced-new-folder,0
obsidian-mark-and-select,112
obsidian-bible-linker,366
obsidian-circuitjs,76
creases,1526
obsidian-kobo-highlights-importer-plugin,83
obsidian-dynamic-embed,0
obsidian-steemit,85
obsidian-kindle-export,276
obsidian-search-everywhere-plugin,589
obsidian-textgenerator-plugin,446
markdown-table-editor,3025
obsidian-vim-multibyte-char-search,57
obsidian-extract-pdf-annotations,815
obsidian-file-cleaner,1474
obsidian-card-view-switcher-plugin,408
novel-word-count,312
heycalmdown-navigate-cursor-history,174
obsidian-matrix,115
waypoint,817
obsidian-hover-editor,13695
obsidian-screwdriver,82
obsidian-version-history-diff,605
obsidian-format-code,138
obsidian-buttondown-plugin,50
lapel,858
obsidian-desmos,705
obsidian-custom-frames,2377
obsidian-etherpad-plugin,77
obsidian-quiet-outline,1385
obsidian-daily-notes-viewer,668
obsidian-zotero-desktop-connector,4413
obsidian-telegraph-publish,70
obsidian-path-title,335
obsidian-jira-issue,192
smort-obsidian,102
control-characters,119
obsidian-asciidoc-blocks,92
fleeting-notes-obsidian,223
obsidian-chat-view,351
obsidian-doubleshift,150
obsidian-list-modified,226
obsidian-latex-suite,353
obsidian-better-codeblock,358
obsidian-wordnik,54
typing-speed,172
obsidian-google-tasks,78
obsidian-jtab,54
obsidian-book-search-plugin,304
obsidian-paste-image-rename,412
obsidian-scroll-offset,82
obsius-publish,158
obsidian-snippet-downloader,161
execute-code,123
obsidian-badge,67
kr-book-info-plugin,0
obsidian-drag-n-drop-plugin,72
obsidian-link-embed,16
obsidian-columns,21
obsidian-mkdocs-publisher,2
obsidian-notion-video,0
obsidian-math-plus,14
obsidian-todoist-link,0
obsidian-rewarder,7
