name,downloads
obsidian-map-view,9913
copy-url-in-preview,5076
initiative-tracker,8195
obsidian-cursor-location-plugin,1750
obsidian-enhancing-mindmap,48225
breadcrumbs,47618
open-vscode,5153
obsidian-image-uploader,820
garble-text,1018
obsidian-paste-to-current-indentation,1841
obsimian-exporter,140
obsidian-find-and-replace-in-selection,1470
obsidian-embedded-code-title,3441
homepage,25136
advanced-toolbar,18441
obsidian-random-todo,487
mx-bili-plugin,11692
cmenu-plugin,32896
obsidian-daf-yomi,631
markdown-attributes,2073
obsidian-wavedrom,261
phone-to-roam-to-obsidian,280
obsidian-budget-wysiwyg,4374
obsidian-pocket,6248
obsidian-wordnet-plugin,3822
multi-line-formatting,1108
obsidian-apply-patterns,1874
longform,8745
readwise-official,30370
obsidian-activity-logger,608
obsidian-toggl-integration,6868
alx-folder-note,12573
obsidian-hide-sidebars-when-narrow,2093
obsidian-linter,31435
number-headings-obsidian,6977
obsidian-view-mode-by-frontmatter,5192
file-explorer-markdown-titles,1309
obsidian-code-copy,1221
theme-picker,4791
emoji-shortcodes,16663
obsidian-reminder-plugin,31626
obsidian-go-to-line,455
open-with,1824
editor-commands-remap,368
obsidian-command-alias-plugin,982
obsidian-rich-links,4808
ObsidianAnkiSync,1897
window-collapse,10
tag-page-preview,4470
obsidian-relative-find,520
obsidian-image-toolkit,29830
obsidian-shellcommands,6401
hover-external-link,1225
obsidian-codemirror-options,21059
obsidian-code-block-enhancer,7294
obsidian-copy-block-link,11732
drawio-obsidian,14473
obsidian-vim-im-switch-plugin,902
luhman,2416
obsidian-daily-named-folder,642
obsidian-trello,2098
obsidian-annotator,64314
customjs,3379
random-structural-diary-plugin,1210
obsidian-file-link,3674
quick-explorer,26885
obsidian-banners,33679
obsidian-jump-to-date-plugin,3399
obsidian-icon-folder,54012
ghost-fade-focus,2337
folder-note-core,9269
obsidian-jupyter,6389
obsidian-hackernews,825
obsidian-reset-font-size,918
obsidian-dynamic-toc,27359
podcast-note,2721
obsidian-stille,4432
block-reference-count,6360
obsidian-markmind,44746
obsidian-carry-forward,2511
obsidian-task-archiver,2960
obsidian-card-view-mode,4518
scales-chords,1038
copy-note,502
customizable-menu,7042
workspaces-plus,11159
simple-embeds,14295
obsidian-read-it-later,7838
obsidian42-text-transporter,3757
marginnote-companion,3260
netwik,369
obsidian-prominent-starred-files,1192
ozanshare-publish,597
obsidian-editor-shortcuts,5063
obsidian-task-collector,3586
metadata-extractor,4522
quick-latex,19420
obsidian-itinerary,1693
uri-commands,908
update-time-on-edit,3976
obsidian-nomnoml-diagram,1757
map-of-content,13303
obsidian-local-images,7009
obsidian-vocabulary-view,971
obsidian42-brat,18354
snippet-commands-obsidian,716
obsidian-javascript-init,572
key-promoter,3824
obsidian-livesync,12854
obsidian-plotly,812
obsidian-wikipedia,3119
obsidian-vale,1836
lumberjack-obsidian,1523
obsidian-link-converter,3041
mysnippets-plugin,3751
obsidian-hypothesis-plugin,4987
obsidian-another-quick-switcher,8293
link-headers-directly,1342
meld-calc,2723
tabout,1333
obsidian-pipe-tricks,374
fantasy-calendar,22478
improved-vimcursor,580
quote-of-the-day,1080
obsidian-audio-speed-plugin,507
obsidian-limelight,919
prompt,444
obsidian-link-archive,1075
obsidian-chess,255
obsidian-html-tags-autocomplete,2004
advanced-cursors,3577
stenography-obsidian,372
obsidian-webhooks,1256
obsidian-tweet-to-markdown,4015
obsidian-habitica-integration,1067
obsidian-oura-plugin,221
obsidian-metacopy,617
obsidian-image-caption,5014
graph-analysis,16695
obsidian-custom-attachment-location,3588
cryptsidian,1470
obsidian-crypto-lookup,266
copy-as-latex,1371
obsidian-auto-split,1671
obsidian-word-sprint,1410
copy-publish-url,696
card-board,5353
obsidian-bible-reference,2691
obsidian-sentence-navigator,441
language-translator,2458
customizable-page-header-buttons,17188
auto-class,721
obsidian-cloudinary-uploader,328
rss-reader,9909
mousewheel-image-zoom,4414
obsidian-flexible-pomo,2599
obsidian-lineup-builder,113
reveal-active-file-button,1390
obsidian-structured-plugin,599
cooklang-obsidian,1348
highlightr-plugin,28435
remotely-save,36418
obsidian-notes-from-template,2432
obsidian-overdue,491
obsidian-dialogue-plugin,2853
obsidian-title-serial-number-plugin,933
obsidian-theme-design-utilities,1811
generic-initiative-tracker,532
obsidian-ankibridge,803
obsidian-tressel,576
image-window,2368
obsidian-tts,2884
link-favicon,6607
get-info-plugin,1376
matter,5728
obsidian-regex-replace,3588
obsidian-wordpress,1435
obsidian-icon-shortcodes,9481
obsidian-tagfolder,9015
obsidian-advanced-slides,161700
obsidian-graphviz,1035
vim-im-select,674
obsidian-emotion-picker,917
quoth,1156
obsidian-metronome-plugin,384
obsidian-plaintext,733
obsidian-native-scrollbars,866
obsidian-wrap-with-shortcuts,559
obsidian-tomorrows-daily-note,1034
obsidian-rant,488
obsidian-smarter-md-hotkeys,8470
obsidian-global-hotkeys,1286
obsidian-timestamper,2906
obsidian-import-json,2565
import-foundry,350
obsidian-attachment-name-formatting,1671
obsidian-completr,6443
obsidian-binary-file-manager-plugin,583
obsidian-local-file-interface-plugin,597
obsidian-siteswap,116
obsidian-tweaks,828
obsidian-wordle,316
obsidian-memos,19146
para-shortcuts,516
13th-age-statblocks,148
obsidian-dynamic-highlights,3938
obsidian-koreader-plugin,381
obsidian-snippetor,1880
obsidian-sortable,11787
link-info-server,
weather-fetcher,1077
